LON,LAT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
274.712677,49.45780945,7.182607793,7.556447411,5.01759069,6.500541208,7.518293044,7.043561296,7.587353832,8.456639001,8.297994911,8.897801099,5.187480116,6.906242151,5.266429586,8.335173045,9.226471109,6.907795973,6.707388344,10.45895574,7.670990777,9.108110964,7.455900409,7.892867042,10.11585633,6.64718169,6.275799717,8.049210486,5.188382317,6.878204244,7.816816388,7.822792464,8.145758743,5.605715824,6.11715681,6.217919836,5.377912193,5.545585228,5.024070735,8.492912243,5.477540586,5.553370026,8.349557383,8.253706534,5.481776253,6.228198654,6.200288315,7.158055151,5.777931587,5.745726306,6.800318655,6.533271068,7.508884596,7.735951608,8.204267354,6.900542287,6.290415822,4.78012364,7.466063413,7.85653942,6.854901871,6.878536643,7.069848965,10.33680001,6.452129716,6.830634534,7.493158626,4.738710533,5.697858566,5.850970625,6.21104551,9.370646907,6.233878713,5.509538976,5.02553936,5.358858815,5.889703659,4.676871418,9.102559351,4.631006536,6.077781624,4.209182547,6.168755286,5.996896876,3.539950389,5.96972989,6.304448445,4.252180957,5.545347002,6.940881044,5.606352601,4.866451796,5.034044806,3.771402875,6.941037776,7.513853878,3.980361569
274.7636414,49.67531204,7.309346888,7.560365273,5.425169804,6.664565967,8.191791562,7.851016427,8.017920348,8.424172603,8.464264726,9.200894341,5.386386173,7.386211253,5.325147847,8.655842067,8.782978849,6.597179324,6.45574752,10.3834962,7.752661548,8.814876788,7.645931281,8.09566034,9.793578521,7.260002484,6.845772509,8.335693222,5.456828698,6.525015517,7.752269321,7.892701216,8.006410799,6.242213124,6.175145782,6.201656336,4.999964043,5.861930751,5.176713545,7.827420224,5.810564546,5.947608848,8.272702899,8.10757772,5.679063938,6.577637341,6.468168098,7.609482257,6.082168004,5.429385563,6.606373066,7.148724841,8.354502591,8.087717833,9.663896504,7.034227811,5.694917787,5.520463941,8.149203853,7.262163006,7.227967593,6.770642692,6.905983293,10.53308369,6.169916971,6.27046358,7.423246388,4.745483174,5.74133444,5.835427085,6.024335127,9.853045775,6.418933943,5.63259006,4.818592998,5.595365983,6.001184326,5.151571388,9.98455438,4.500991603,6.213699526,4.384298628,6.124329571,6.022228119,3.607462732,6.724740781,6.747296916,4.296576176,4.84293811,7.15987503,5.524311132,4.615469255,4.950415179,3.882388336,7.103444882,7.775585655,3.825046638
274.742218,48.11976624,6.135753558,8.030758602,5.245174692,7.263440856,7.786020458,5.380862214,8.05209992,8.124303999,8.813724324,8.953291724,5.35575832,5.326702867,4.522947453,7.162764835,7.77098146,6.243978726,7.104511091,7.028686936,5.925995287,6.564669841,7.531138841,6.001308977,7.015545878,6.950249365,4.942995137,6.812093639,6.225128903,5.135908564,7.635827063,6.078389291,9.276580639,4.672123422,4.143586162,3.900566204,5.325553374,5.839774582,4.760778973,6.908071336,3.745463877,4.707440662,7.222335763,8.533531222,4.686119281,4.453969767,3.842364314,6.62153637,3.40268013,5.407595862,6.784754727,4.202243435,6.439494179,7.277589418,5.143029185,4.545689096,5.287779071,5.232440249,5.982649067,5.974472304,6.40983862,7.29874379,4.320149651,6.262290904,6.543040456,6.012987116,6.285431787,3.066805322,4.776905693,4.0185723,4.358192895,4.824587732,5.641958504,3.319148779,2.416598366,2.946944314,3.636481387,3.468084461,5.912046354,3.342480596,5.255163737,3.642525714,4.942345107,5.739024624,2.893556007,2.986233432,3.232554274,2.679909345,4.341002188,4.125106279,5.285182319,2.979098125,2.96944115,2.959072684,3.529707277,3.14104942,3.910971424
274.7919312,48.33726501,6.628542217,8.378793082,5.252995799,7.727932903,6.926789497,5.387687129,7.601301516,8.176031321,7.970554755,9.141202494,4.948208602,5.422894235,4.874765914,7.009453367,7.647386521,5.969342582,7.112765168,7.314413135,6.713571728,7.141564915,7.324444532,6.07160253,7.301197516,5.855578188,4.845363256,6.593965186,5.971272202,5.032840641,8.109901411,6.636498425,9.680878967,4.689973211,5.064906838,4.616664921,5.662648029,5.230642611,5.418340099,6.596722984,4.260676459,4.696921213,7.07604591,9.026057212,5.125449083,5.778653585,3.951151359,6.570015174,4.150053472,5.044168747,7.501940081,4.420897219,6.78454515,6.57879919,5.988139815,4.848220023,6.19193646,5.203432149,6.614496621,7.622491223,6.754180248,7.366252999,4.771032968,6.996986988,6.777253007,6.24730757,7.118349286,3.597956186,5.470493093,4.574512253,4.633061385,6.253464458,5.844393437,3.939243732,3.00783469,3.737281804,4.394792921,4.124515259,6.69006864,3.247168186,5.74047203,4.142293606,5.900792413,6.204983892,3.312447178,4.184140397,3.578710897,3.031666914,4.87466978,4.595985636,5.320225169,3.470454794,3.534280472,3.550467778,3.871013939,3.248112619,4.054176453
274.842041,48.55474854,6.556658458,8.246273662,5.135349896,7.517296281,6.703796882,5.295570009,7.884972978,8.566963518,8.211182706,9.018012543,4.99136159,5.521423489,5.288342032,7.545079296,7.410730585,6.281727493,7.115401027,7.585647208,6.700002152,7.641564478,6.955556895,6.430928028,8.757812444,5.770714817,5.734061131,6.700877609,5.906491282,5.320870407,7.911296567,7.597357277,8.931992544,5.031250978,5.349048752,5.03660789,6.051960811,5.055442971,5.314655479,6.939527825,4.635828472,4.700179897,7.482606549,9.057079404,5.079194241,5.766340653,4.384377168,6.574799872,4.703269548,5.079506458,7.313017591,4.722488225,6.858365556,7.262467693,5.904366567,5.184717235,6.4969739,5.158120784,7.310076411,7.787329937,6.771282879,7.857694757,5.172020404,7.449735387,6.516838205,7.089395795,7.413752922,3.89302456,5.291844999,5.256530697,4.630394449,6.967885585,6.358719772,4.504950555,3.566720814,4.471085726,4.483459068,4.472297279,7.148277125,3.828191102,6.266059292,4.168133854,6.41013683,6.094294374,3.685317768,4.886204681,4.348461923,3.378822787,5.132399601,5.176922386,5.44687268,3.844436434,4.053029238,3.640751106,4.532719882,3.785713818,4.21951796
274.8925476,48.77219772,6.768949107,8.126884871,5.281087043,6.888972187,6.904517184,5.052811232,7.687723339,8.771947202,8.409084615,9.174621065,4.902339919,5.55755327,5.420969948,7.113079222,7.983711995,6.369502007,7.716791707,8.254470666,6.977910442,7.929907024,6.792326212,7.429698609,9.558350614,6.027755895,6.803269776,7.250599298,5.73088758,5.634739751,7.983860979,7.840608427,8.703160677,5.074537088,5.218082455,5.409802338,5.761479357,5.076043838,4.870282169,7.429355767,4.694504936,4.740075879,7.664320979,9.221222353,5.282968079,5.577724271,4.354409807,6.48551074,5.319477059,5.000746612,7.261913382,4.905508104,6.631944622,7.530151378,6.363149535,5.541055743,6.587522114,4.967217558,7.121012448,8.10337378,7.136715685,7.479352332,5.827656121,7.961336195,6.296671982,7.589044551,8.053732994,4.136172289,5.50489859,5.25526375,5.359482287,7.450303693,6.474504373,5.005188852,3.994505401,4.804455405,4.857398739,4.666000324,7.164305153,4.061632094,6.26324595,3.883538361,6.0708694,5.890399074,3.870493012,5.404796589,4.781898424,3.683294098,4.997953411,5.616685766,5.445910783,3.937460739,4.07266382,3.270261313,5.053008933,5.418767931,4.351943719
274.943512,48.98963165,7.375683768,7.257220344,5.284062131,6.827474739,6.4754761,5.205696002,7.07392068,9.110759607,8.569164766,9.315898659,4.741451852,5.750613348,5.454300367,7.117590309,8.591110003,6.474364652,7.526405203,9.179480183,7.027478065,8.687838733,7.312283121,7.925358665,9.533668048,6.329720666,6.386463148,7.111315647,5.209592114,6.343334984,8.017847761,7.92378956,8.228302903,5.125801846,5.458094401,5.450141833,5.697574593,5.221052124,4.805234805,7.655338903,4.350405994,4.968800444,7.444950205,9.123251918,5.283071237,5.465832281,4.782203741,6.553392276,5.661908661,5.345599704,7.329921043,5.154803495,6.80338873,7.391598112,6.786536045,5.799697317,6.372379657,5.053552326,7.03103532,7.854096906,7.011503601,7.219795654,6.749331476,8.385705773,5.889042372,7.23604211,7.699036149,4.359350962,5.503133691,5.116283481,5.165224128,8.036497343,6.278084035,4.918734516,4.126655031,5.079523352,4.795433286,4.700419644,7.992241798,3.830633333,6.134263879,3.482914648,6.070202885,5.525067723,3.485433344,5.114917334,5.276615751,3.911947195,4.93622592,6.168107207,5.284958124,3.907648749,4.384414477,3.213955708,5.601561515,6.323856783,4.159930196
274.9949036,49.20703888,7.008954135,7.003498019,5.107901068,7.553455452,6.710532172,6.654289589,7.524123116,8.524258337,8.78358371,9.203399795,4.959782014,6.729252425,5.38952079,7.824879424,9.517179162,6.565526299,7.681918431,9.856031268,7.374806541,8.862262607,7.579388529,8.225378134,9.789513724,7.016319475,6.437364653,7.371696449,5.443434772,6.751958028,8.066956745,7.497106672,8.048096291,5.339389508,6.08759694,6.065279617,5.857018128,5.751603749,5.023754944,8.240374783,5.212642991,5.324255565,7.488416303,9.100419742,5.456751457,5.812435692,5.82209775,6.612481925,5.463795639,5.391985391,7.39821595,5.426082831,7.109596246,7.814290514,7.401515555,6.238458436,6.348074561,4.967065186,7.461987125,8.000159718,7.246512214,7.118938493,7.482824719,8.71382262,6.059345763,6.64491945,7.80127296,4.678366747,5.914906674,5.535709346,5.7102628,9.189239664,6.088993855,5.312624784,4.400856865,5.255616221,4.956818133,4.597194357,8.906876026,4.21010006,5.990058489,3.836823686,6.102938769,5.525785635,3.60837211,5.595822612,5.989101747,4.121900627,5.414635557,7.286073809,5.611389727,4.333703271,4.989796621,3.370698767,6.478261372,6.795667697,4.18726006
275.046814,49.4244194,7.360591926,7.461795716,5.094130242,6.959915939,7.2063762,7.213781656,7.78320986,8.397338027,8.679770897,9.056026191,5.125422044,7.240819757,5.358773833,8.198951316,8.900873851,6.799242202,7.072581157,10.63590259,7.749077987,8.805350729,7.395282961,8.101865369,9.626004547,6.843380024,6.507166647,7.969346163,5.468007448,6.737117252,8.270706557,7.841185826,7.896831726,5.778201428,6.272508282,5.995345148,5.741493814,5.657886579,5.045993859,8.134744107,5.560596991,5.634808187,8.385352226,8.785940478,5.523309465,6.262843374,6.122798615,7.093836303,5.47118909,5.516612208,6.916193143,5.821332321,7.522529103,7.535483081,8.185100507,6.585131001,6.268704188,4.934094939,7.652255054,7.587712171,7.530198141,6.925959987,7.411279615,10.06347712,6.20146139,6.228441052,7.517611105,4.920731326,6.046060217,5.548023609,5.866161154,9.581748647,6.363077706,5.392423823,4.560014179,5.736537975,5.498072044,5.004278921,9.056330906,4.218169479,6.06154839,4.222396181,6.015914295,5.718131168,3.746134976,5.771281606,6.003864581,4.191077079,5.169949115,6.945288013,5.754218988,4.401756786,5.056949636,3.709697738,6.600564687,6.896577697,4.041305317
275.0991211,49.64178467,7.032786581,7.663982125,5.423087575,7.291490858,7.511636098,7.935850786,8.080453216,8.7135855,8.763861972,9.444229759,5.438169598,7.477190427,5.527564629,8.961834886,9.169829358,7.065718128,6.747749825,10.70963969,7.677244612,9.19161871,7.50281972,8.449682563,9.348831127,7.663244636,6.911395347,8.42743959,5.515948985,6.636640473,8.309177895,8.033668806,7.873028063,6.241791382,6.185447699,6.395775385,5.277171305,5.926008924,5.251649888,7.970255644,6.195773613,5.964436378,8.565772468,9.252409467,5.749598442,6.769072831,6.295261528,7.608764078,5.977273722,5.722623238,7.142594274,6.827345488,8.104213036,8.119223258,9.263223655,7.07909241,6.430784069,5.611268207,8.001627276,7.342022029,7.776053908,7.322262079,7.366288276,11.18932132,6.410589939,5.891186584,7.612966951,5.125625565,6.140921163,5.432647274,6.115510823,9.471419481,6.780453625,5.377806169,5.157050478,5.62687409,5.924978885,5.198836536,9.948513306,4.30846785,6.377278362,4.375142046,6.09214091,5.838713792,3.815301966,6.507930204,6.815238715,4.48078665,5.580238149,7.697839109,5.772302398,4.613286829,5.610412724,4.167073526,6.734680791,7.902625488,4.200884952
