LON,LAT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
274.712677,49.45780945,0.748794895,0.552801102,0.72032917,0.788254573,0.7695929,0.918136495,1.168628469,1.180800124,1.094997166,1.059258465,0.849134223,1.004371893,0.742628982,0.906154145,2.100400094,0.907579283,1.09949161,2.236481286,1.275298767,1.423913173,0.88630919,1.153168966,1.572632182,1.020086169,0.9602384,0.965296142,0.943205942,1.288582504,1.549541244,1.801504977,1.730290619,0.901742071,1.822418739,1.708419269,1.237654264,0.904280729,0.693018286,1.982794652,1.512160866,1.079099106,2.299391441,1.531958344,0.878421488,1.450892577,2.174349944,1.929181891,1.518815395,1.736092998,1.638922211,1.573179218,1.623375853,2.09938803,2.266441897,1.872694284,1.766662454,1.117536293,1.853537564,2.479693535,1.837262767,2.082813071,2.703085381,2.792777214,2.253296933,2.75976603,2.534605749,1.887190136,1.632237514,2.046937609,2.592459464,3.543365513,1.95304615,2.074164908,2.480862504,2.145909605,1.989548362,1.738294793,2.770517711,1.63874992,2.094841177,1.388903589,2.79014365,1.946081763,1.51688315,1.634732925,1.792328285,2.279575813,1.985075233,3.440832807,2.476597257,2.740361736,2.949776163,2.297548585,2.89666142,3.772863074,1.530254836
274.7636414,49.67531204,0.773581329,0.595293706,0.775577618,0.824085742,0.864802261,1.110506711,1.22008098,1.344244909,1.10432786,1.109899812,0.877923423,1.173780757,0.744612625,0.947209542,1.875153091,0.869951164,1.008983631,2.082729332,1.203764207,1.365320222,0.935485732,1.124433009,1.54719368,1.140456602,1.058126077,1.009600091,0.917135327,1.280165026,1.502777894,1.671968443,1.63808768,0.983177647,1.689381604,1.540155274,1.210502799,0.954339089,0.845153917,1.778838992,1.672570805,1.256148725,2.340169343,1.674125883,0.939476579,1.640382494,2.124842435,2.024156289,1.746382252,1.6383314,1.53014496,2.052483773,1.786623843,2.021670616,2.741587757,1.872823982,1.485546533,1.383415697,1.997033666,2.223228161,1.891008034,1.937429652,2.488115946,2.97806939,2.100511564,2.919736701,2.62452629,1.847834873,1.872137752,1.873884816,2.435763951,4.104102077,2.074228236,1.988764893,2.531012126,2.330091946,1.900238955,2.173385397,3.127383897,1.553243268,2.095522638,1.482851793,2.654663075,1.968293154,1.604434586,1.966838993,1.97565882,2.317145875,1.80747743,3.301383861,2.49463015,2.420966267,2.904519958,2.251423188,3.309700331,3.815367903,1.37236725
274.742218,48.11976624,0.715667232,1.210096487,0.918358179,1.072749687,1.186404619,0.634222393,1.426953038,1.562033377,1.503533255,1.180758688,1.216328132,0.865860827,0.965516135,1.103679389,2.144935246,1.055523096,1.681662583,1.743019451,1.169150235,1.032007311,1.197309202,1.161635825,1.795699777,1.272149008,1.072885549,1.3039764,1.751413233,1.136592592,1.615145403,1.244028515,2.483317332,0.950159619,1.133928822,0.858562841,1.408114266,1.363243819,1.231216905,1.66210689,0.912638812,1.185654714,1.965932753,2.164827076,0.920816595,1.198332759,1.243892036,2.053434152,0.918185845,2.290255295,2.084110589,1.110124485,2.095625077,1.978583689,1.684841275,1.361169004,1.720476526,1.727820008,1.933665771,2.576655711,2.344361794,2.781890893,1.782711121,1.991033315,3.209267499,4.562161,2.721384186,1.072369669,1.670731441,1.829012497,1.978542576,2.004502167,2.197841655,1.068359986,1.105646641,1.447480525,1.864219154,1.988582957,2.294369145,1.254297744,2.382418507,1.463309895,3.535477891,2.087411717,1.54725451,0.87111471,0.92509523,1.061873375,2.425918772,2.218099072,2.848302755,1.938229458,1.541052544,2.069912456,1.644253159,1.307863805,1.61763486
274.7919312,48.33726501,0.750615006,1.049478616,0.730893083,1.108707692,0.885674687,0.623796709,1.171401411,1.322852766,1.136290097,1.027122945,0.90816044,0.771377345,0.878725615,0.998173959,1.673266931,0.854860265,1.362233396,1.558299605,1.26482327,1.142636705,0.980311208,0.983860704,1.500378604,0.849767134,0.821817223,1.076014549,1.478188359,1.05994152,1.5908866,1.417287077,2.309793424,0.824064444,1.401428955,1.13657265,1.617314051,0.936756513,1.24773432,1.413317994,0.987994358,0.980979262,1.774508766,2.049037836,0.973579895,1.522925619,1.211789462,1.818931298,1.027843017,1.781720318,1.835067292,0.959747089,1.653958687,1.665750042,1.797999383,1.313455856,1.938245437,1.483754256,2.025974069,2.97093046,2.023509428,2.407241725,1.738783633,1.686238078,3.001246092,3.561925357,2.58209373,1.186134906,1.848508744,2.030322997,1.9436044,2.583579327,2.236941016,1.551317084,1.34773409,1.686900956,1.69144753,1.872579269,2.465016538,0.977679492,2.142606766,1.601054955,3.563058389,1.85642272,1.586920215,1.233176836,0.897152909,1.21011338,2.032504236,2.151692085,2.602451805,1.774354642,1.597481494,2.340483968,1.487593286,1.129049758,1.927991739
274.842041,48.55474854,0.65056976,0.901150476,0.738770052,1.100734342,0.759844945,0.53233884,1.068388569,1.232433379,1.197085986,0.929860577,0.876913832,0.726806524,1.033523366,0.952883425,1.481619194,0.767943029,1.21831515,1.443067175,1.221152655,1.256115918,0.826065877,1.102123479,1.766113101,0.909320473,0.886696925,1.047537459,1.264166416,1.075506639,1.483245922,1.653523948,2.106949909,0.830319932,1.669209098,1.204610928,1.948798106,0.827319652,1.042706151,1.453887854,1.08427818,0.917204751,1.912595985,2.046338693,0.799061448,1.33787624,1.355347135,1.571640197,1.187515131,1.656343381,1.919520628,1.159193362,1.504195497,1.910226657,1.531665829,1.408515277,1.925427473,1.298937148,2.18911256,2.885365626,1.877844995,2.611690552,1.866557167,1.782750674,2.43904121,3.718258217,2.571197754,1.49547954,1.493253335,2.357616934,1.842204232,2.941593462,2.348220545,1.692882232,1.521273986,1.948611393,1.567722314,1.910628351,2.431985273,1.333112656,2.183144039,1.300790375,3.36269756,1.742366148,1.76293174,1.600803892,1.157001001,1.384558544,1.901045587,2.281272572,2.719374241,2.269858489,2.054623712,2.086286179,1.847631618,1.393303623,1.797866539
274.8925476,48.77219772,0.82129157,0.896094776,0.809712683,0.977574781,0.746158389,0.529886921,1.266279357,1.337791408,1.307642382,0.879946028,0.779581892,0.801451253,0.96687242,0.876691991,1.584866397,0.779406326,1.446360351,1.624355655,1.314506444,1.302041736,0.800194315,1.200159607,1.857815781,0.921020835,1.18612667,1.055707334,1.249571851,1.123839456,1.689169201,1.758678072,1.954040372,0.736322156,1.529913536,1.309796222,1.629939168,0.808691792,0.877233296,1.794164866,1.149197234,0.894654802,1.933246427,1.992592914,0.904190388,1.405021662,1.335939007,1.650035054,1.427697681,1.694724136,1.904906282,1.024600436,1.47906023,1.994679805,1.801080224,1.416875229,1.959277482,1.312663811,2.089926784,3.171342617,1.982351431,2.528548731,2.040911046,2.039618821,2.322330565,4.373995565,2.909309085,1.710167497,1.784860621,2.343937709,2.126804441,3.101221724,2.314650439,1.99447315,2.080606773,2.09070709,1.714678221,1.999101464,2.344331593,1.423613128,2.138263642,1.258516782,3.345749943,1.764179985,2.088831618,1.726299202,1.344263233,1.77342327,1.769451057,2.724622383,2.889576583,2.263071366,1.838839443,1.989800509,1.992674726,2.37671795,1.782796143
274.943512,48.98963165,0.885146777,0.755368661,0.80155377,0.901288077,0.635676218,0.598177538,1.114039515,1.240892382,1.311413154,0.922142438,0.72359626,0.799450753,0.888534791,0.847910756,1.801682753,0.857798295,1.290790039,1.830569332,1.276342467,1.397728423,0.748817919,1.291743275,1.720830965,0.949356391,1.092118772,0.94883539,0.955117872,1.191173931,1.705127977,1.766305057,1.683189528,0.802323767,1.497311144,1.273718401,1.575780962,0.825282523,0.79352183,1.76235808,0.961791469,1.08026776,1.935123184,1.804612748,0.820269728,1.27719124,1.509273867,1.7693747,1.687996403,1.850471579,2.014815649,1.022437363,1.597514995,1.97781292,1.73780081,1.497010404,1.801245924,1.237035391,1.921101139,2.852804136,1.899889237,2.416284779,2.41190234,2.377449387,2.16186865,3.731640129,2.561181213,1.877053021,1.708272077,1.956026816,2.017004798,3.262915216,2.138683717,1.933780222,1.86643922,2.237812169,1.718022323,1.882175976,2.462775918,1.21882102,1.953236223,1.034600558,3.191450837,1.69676991,1.518846079,1.527678043,1.544651501,1.859642739,1.817478412,3.090182125,2.563752976,2.052051689,2.227896097,1.813299443,2.194938109,3.144176447,1.495655222
274.9949036,49.20703888,0.734659724,0.667979945,0.68717625,0.857296456,0.578875711,0.841437924,1.219071025,1.118678449,1.275226438,0.88882256,0.726010779,0.942445792,0.81393289,0.879390678,2.024681166,0.775849405,1.325358772,2.01950176,1.325966202,1.346073489,0.893438329,1.232342728,1.620779691,1.138407808,1.025315368,0.951264775,1.183860334,1.265645234,1.660654545,1.546727278,1.633256434,0.780575815,1.70229443,1.678858672,1.532260388,0.974155907,0.703152884,2.038070902,1.280578598,1.232357536,1.893761814,1.843598468,0.873873569,1.375289283,1.885572107,1.73713353,1.418925399,1.784105644,1.867299312,1.121835426,1.458432331,1.902618409,2.031758073,1.76422791,1.728164235,1.217597012,2.038444139,2.702456095,1.965771944,2.300871005,2.831141496,2.299457808,2.133228572,2.808800601,2.696307246,1.986101262,1.585156443,1.993430304,2.215681557,3.735500035,1.91625116,1.928681479,1.964551839,2.067510702,1.73418635,1.672875406,2.73938023,1.396287165,2.010305361,1.244374141,2.846992366,1.630019942,1.582586957,1.558190368,1.679185658,1.893083315,2.033477579,3.497508944,2.447933276,2.444531969,2.726336008,1.819841803,2.573946603,3.410840134,1.51165466
275.046814,49.4244194,0.807642186,0.557511002,0.670424065,0.852354007,0.68613381,0.894293617,1.181337561,1.160220059,1.18839886,1.065452893,0.834217651,1.029056243,0.745938834,0.941257322,2.003936132,0.868176057,1.125507724,2.187006652,1.368538694,1.26950997,0.790399647,1.176581252,1.4923565,1.111403465,0.964604713,0.966648656,1.065419252,1.293975743,1.640666344,1.729350279,1.658693093,0.841782783,1.71687884,1.400026486,1.508491424,0.94684531,0.679420038,1.823733339,1.541086899,1.207727821,2.247460347,1.661249799,0.820636361,1.499927159,1.995292308,1.836884968,1.310228631,1.667454162,1.626714858,1.401085073,1.683768658,1.934025442,2.256265102,1.791469208,1.701159772,1.124391121,1.782212512,2.243583864,2.071303047,2.095655478,2.693391323,2.671478349,2.198912173,2.505668947,2.47944595,1.964518826,1.608788421,1.840815494,2.294152236,3.679101313,1.922131249,1.889600636,2.246241294,2.18237266,1.744881787,1.986840626,2.611290657,1.300047801,1.89684599,1.412225057,2.668522662,1.682786719,1.70750497,1.501031882,1.75302867,2.238199388,1.836681541,3.104627032,2.703574609,2.396053923,2.942893331,2.028978972,2.566536132,3.144122977,1.444013849
275.0991211,49.64178467,0.760473217,0.620256656,0.744007806,0.968053894,0.739785567,1.103474418,1.145852295,1.413702694,1.140773593,1.106706047,0.862821063,1.168772316,0.75510169,1.051016801,2.262026307,0.909978867,1.115563548,2.233632995,1.265532958,1.455296589,0.779939333,1.235127673,1.558473405,1.256204314,1.042358529,0.986812296,1.074676825,1.252698879,1.601567789,1.781261896,1.636379928,0.978794536,1.80125369,1.765409031,1.295494033,0.960820312,0.782232273,1.748171062,1.840458102,1.290059737,2.443666746,1.936575909,1.002999333,1.667394223,2.035072225,2.046211128,1.647347989,1.758934991,1.705546493,1.973126184,1.674672578,2.011664218,2.858210312,1.894494771,1.729245683,1.40959618,1.912776112,2.35121216,2.105839408,2.277145505,2.880489277,3.198563018,2.29898553,2.406217503,2.837899282,2.085447827,1.773392556,1.768809859,2.381588113,4.010089404,2.014031674,2.024340295,2.632709263,2.285477252,1.875206474,2.152622038,3.179046186,1.449718357,2.084566657,1.49512471,2.743562172,1.81413138,1.780023819,1.828343519,2.058534687,2.39371748,2.1208803,3.544629959,2.715386875,2.472872413,3.49824282,2.51315081,2.714497361,4.14017493,1.629786261
